ppp_2011_USD,dname
2.250787458,au81
1.657498516,au85
1.214320511,au89
1.000376517,au95
0.8714341231,au01
0.8232173276,au03
0.7085937106,au08
0.6766741503,au10
0.14490316,at87
0.1170305091,at94
0.1144551542,at95
0.1109319572,at97
0.1067477525,at00
1.358644375,at04
0.04813423594,be85
0.04625377671,be88
0.0410185911,be92
0.03842840404,be95
0.03705017934,be97
0.03539334721,be00
0.7755689883,br06
0.6752474127,br09
0.6028517409,br11
0.5385543375,br13
4.463233867,ca71
3.222163783,ca75
1.88414854,ca81
1.362770698,ca87
1.127676776,ca91
1.088843446,ca94
1.0325176,ca97
1.022335724,ca98
0.9782980211,ca00
0.8915216858,ca04
0.8371931248,ca07
0.8011320014,ca10
0.3522349135,cn02
0.001139242431,co04
0.0009852043152,co07
0.0008639560224,co10
0.1807154054,cz92
0.1145258967,cz96
0.08432020006,cz02
0.08191355909,cz04
0.0762143895,cz07
0.06993686191,cz10
0.2063846037,dk87
0.1755854829,dk92
0.1665306262,dk95
0.1485453185,dk00
0.1372031883,dk04
0.1300367539,dk07
0.1213275131,dk10
0.5177810806,eg12
0.1651599828,ee00
0.1444078605,ee04
0.124626561,ee07
0.1097516247,ee10
0.2947351428,fi87
0.2380702693,fi91
0.2226233356,fi95
0.206213542,fi00
1.164608938,fi04
1.109012238,fi07
1.052931327,fi10
0.5725400614,fr78
0.304695372,fr84
0.2557435629,fr89
0.2255574143,fr94
0.2086897662,fr00
1.245649815,fr05
1.155320259,fr10
1.289155913,ge10
1.205193557,ge13
1.679796131,de73
1.333955751,de78
1.144077365,de81
1.05300653,de83
1.027448119,de84
0.9664580481,de89
0.8023722223,de94
0.740923883,de00
1.363964565,de04
1.29261909,de07
1.241879562,de10
0.00695328101,gr95
0.0054891306,gr00
1.638950976,gr04
1.490663481,gr07
1.350468347,gr10
0.3450888173,gt06
0.05987052247,hu91
0.03345519905,hu94
0.01421315174,hu99
0.009738013011,hu05
0.008685266191,hu07
0.007857787494,hu09
0.006817862507,hu12
0.01157192441,is04
0.009927815178,is07
0.007463783685,is10
0.1151164155,in04
2.445000667,ie87
2.015194141,ie94
1.965765676,ie95
1.933037881,ie96
1.733979901,ie00
1.176620797,ie04
1.053737298,ie07
1.070310407,ie10
1.125645834,il79
1.461807206,il86
0.5590149856,il92
0.3360308434,il97
0.2962955258,il01
0.275981895,il05
0.2688962816,il07
0.2422799774,il10
0.2302475253,il12
0.001422519145,it86
0.001358243607,it87
0.001216488683,it89
0.001074584076,it91
0.0009788199427,it93
0.0008940382519,it95
0.0008264244232,it98
0.0007929868785,it00
1.389136335,it04
1.267641673,it08
1.239122112,it10
0.008411969433,jp08
0.04464308194,lu85
0.03971976459,lu91
0.03637318791,lu94
0.03472429474,lu97
0.03301337469,lu00
1.218159424,lu04
1.131530459,lu07
1.066052894,lu10
0.02181507729,mx84
0.001246286157,mx89
0.0006945141236,mx92
0.5915965622,mx94
0.3261122682,mx96
0.2332040787,mx98
0.1826824582,mx00
0.1635273648,mx02
0.1494087594,mx04
0.1268552701,mx08
0.115665467,mx10
0.1074368937,mx12
0.9063676611,nl83
0.8626213246,nl87
0.8268434447,nl90
0.7574138425,nl93
0.6653961087,nl99
1.288573303,nl04
1.232829108,nl07
1.173800248,nl10
0.3671377375,no79
0.200455968,no86
0.1534858902,no91
0.14115251,no95
0.1259756814,no00
0.1172685387,no04
0.1120609982,no07
0.1032266748,no10
2.20524755,pa07
1.913159868,pa10
1.643388395,pa13
0.7685871207,pe04
0.7285469465,pe07
0.6589832689,pe10
0.5981763267,pe13
0.03505363175,pl86
0.0003013505436,pl92
1.290178219,pl95
0.7806835412,pl99
0.6320988255,pl04
0.5979496178,pl07
0.5373617381,pl10
0.4926158027,pl13
0.002099556236,ro95
0.0005936209234,ro97
0.2102128276,ru00
0.118602379,ru04
0.08803509688,ru07
0.06466346644,ru10
0.05316201628,ru13
0.03364177568,rs06
0.02451201731,rs10
0.01908110711,rs13
0.2109946996,sk92
0.1301112252,sk96
0.07165367541,sk04
0.06497889963,sk07
1.824294354,sk10
0.01161198176,si97
0.01013709276,si99
0.007305881776,si04
1.609280893,si07
1.482964863,si10
0.2314262384,za08
0.2071924897,za10
0.1867751316,za12
0.001294792924,kr06
0.03734913008,es80
0.02097988441,es85
0.01533481332,es90
0.01192256168,es95
0.01047705186,es00
1.537850473,es04
1.398225419,es07
1.323529322,es10
0.9220648842,se67
0.5614226681,se75
0.3039805567,se81
0.2040338487,se87
0.1466646498,se92
0.1337514449,se95
0.1306646397,se00
0.121532238,se05
1.034403432,ch82
0.756885644,ch92
0.6878606908,ch00
0.6767746078,ch02
0.6671254541,ch04
0.06698969591,tw10
15.07812957,uk69
9.528540217,uk74
4.619898287,uk79
2.679901936,uk86
2.043881176,uk91
1.875303174,uk94
1.826775751,uk95
1.701297247,uk99
1.603050876,uk04
1.500212687,uk07
1.372109791,uk10
4.560467436,us74
3.098629026,us79
2.052364659,us86
1.651636786,us91
1.517552145,us94
1.401344616,us97
1.306266938,us00
1.190889438,us04
1.084868066,us07
1.031568416,us10
0.965582001,us13
0.09768052363,uy04
0.08110438719,uy07
0.06581512446,uy10
0.05187736702,uy13
0.06240857291,do07
0.0007936747416,co13
0.0642902863,tw13
1.23452568,es13
