pctile,inc3_mean,tax_mean,transfer_mean,pubpension_mean,hil_mean,hxit_mean,hxits_mean,hsscer_mean,taxrate_mean,countryyear
1,3850.27,622.04,1637.905,246.2148,1450.721,215.1532,10.00745,423.6105,.1487285,at04
2,7523.658,891.1546,4919.85,0,1897.594,364.5967,16.42175,553.8851,.1195021,at04
3,9858.961,1164.423,5444.518,905.301,2637.845,418.7105,91.40633,760.8311,.1171237,at04
4,11865.08,1324.316,6051.163,2130.615,2654.872,571.9362,208.8802,775.2225,.1106515,at04
5,13830.38,1711.152,6567.031,2774.878,3398.33,731.4399,329.78,990.7464,.1230528,at04
6,15538.82,2821.669,4370.511,4090.356,5448.267,1243.304,539.9904,1589.232,.1808379,at04
7,17174.03,3606.517,5218.096,2719.837,7105.792,1539.267,810.5073,2067.25,.2101102,at04
8,18592.81,4144.762,4474.217,4046.846,7667.944,1940.875,902.3534,2206.176,.2220594,at04
9,19968.59,4404.061,5753.654,3295.583,8255.549,2007.054,987.5742,2409.897,.2203965,at04
10,21103.29,6203.13,3518.686,3379.025,10863.98,3032.516,1426.331,3170.614,.2940576,at04
11,21859.92,5733.685,4415.684,4394.45,10004.63,2814.862,1288.861,2919.838,.262483,at04
12,22717.27,6397.112,4430.111,2567.896,12017.39,2888.035,1620.738,3509.077,.2814822,at04
13,23539.03,7346.47,4311.866,2236.978,13032.79,3541.217,1766.968,3805.254,.3121888,at04
14,24416.12,7011.592,4049.379,5240.086,11640.07,3620.004,1600.449,3391.588,.28688,at04
15,25046.96,7020.566,6055.13,1847.987,13147.47,3181.5,1805.199,3839.067,.2802013,at04
16,25679.88,7964.007,4135.809,2346.996,14807.43,3656.895,2026.306,4323.771,.3098794,at04
17,26275.88,8150.722,3793.425,2490.243,15129.96,3732.814,2112.313,4417.907,.3102056,at04
18,26983.04,8946.858,3098.274,4427.931,14946.21,4582.564,2120.73,4364.294,.3315308,at04
19,27681.42,8766.3,3650.124,3004.043,16014.05,4097.439,2162.538,4673.2,.3169335,at04
20,28212.26,9666.236,2868.448,1925.739,18056.93,4407.044,2436.745,5259.192,.3425342,at04
21,28837.29,8982.398,3362.042,5154.824,15496.05,4459.491,2150.336,4522.907,.3115369,at04
22,29425.71,8998.995,4114.882,4514.328,15979.86,4366.936,2245.605,4648.756,.3057802,at04
23,29985.95,9022.238,4257.941,4926.259,15948.75,4367.487,2278.087,4657.038,.3009039,at04
24,30678.43,9934.534,2903.633,4957.135,17514.99,4820.734,2485.666,5113.801,.32383,at04
